quantity,part,item code,link
1,1-1-4 inch 90deg 1.6mm,TEL090D031.8C,https://www.prochem.com.au/318-od-x-16wt-90d-elbow-304
3,1-1-4 inch 45deg 1.6mm,TEL045D031.8C,https://www.prochem.com.au/318-od-x-16wt-45d-elbow-304
,,,
2,1-1-2 inch 90deg 1.6mm,TEL090D038.1C,https://www.prochem.com.au/381-od-x-16wt-90d-elbow-304
3,1-1-2 inch 45deg 1.6mm,TEL045D038.1A,https://prochem.com.au/381-od-x-16wt-45d-elbow-316 
,,,
2,2-0 inch 90deg 1.6mm,TEL090D050.8C,https://www.prochem.com.au/508-od-x-16wt-90d-elbow-304
3,2-0 inch 45deg 1.6mm,TEL045D050.8C,https://www.prochem.com.au/508-od-x-16wt-45d-elbow-304
,,,
1,O2 Oxygen Sensor Bung 304 SS M18x1.5mm,,https://www.ebay.com.au/itm/255299139733?chn=ps&_ul=AU&mkevt=1&mkcid=28
